FilerEIN,TaxYear,CurrentYearMinus3Amt,CurrentYearMinus2Amt,CurrentYearMinus1Amt,CurrentYearAmt,TotalAmt
810421425,2018,25947,50301,78006,56658,210912
364724966,2018,412411,394401,376949,455640,1639401
204329740,2018,,,,,0
264436716,2018,400594,337824,347191,334089,1419698
431486035,2018,,,406,2151,2557
133028060,2018,352575,295257,328578,357444,1333854
364724966,2017,529932,412411,394401,376949,1713693
363152959,2017,529932,412411,394401,376949,1713693
510295186,2017,180124,237095,174335,198652,790206
590624458,2016,273233,263184,261239,256934,1054590
941730465,2016,583245,462069,456140,437339,1938793
363245072,2019,843776,947587,859435,837812,3488610
364724966,2019,394401,376949,455640,417537,1644527
452641647,2019,,,,100,100
912153073,2019,,,,630216,630216
470466144,2019,264,,4415,,4679
364724966,2020,376949,455640,417537,522593,1772719
651253851,2020,0,0,0,0,0
421435199,2020,691344,761156,796391,791108,3039999
912153073,2020,,,630216,603035,1233251
742244826,2020,,,,2096,2096
340714585,2020,,,630216,603035,1233251
223139279,2021,0,0,0,0,0
530183181,2022,430714,370392,289444,404360,1494910
135661832,2022,6418,224,970,13923,21535
473036490,2022,0,0,0,0,0
650267668,2022,461258,494996,524874,569902,2051030
042105780,2022,158045,136875,98125,84500,477545
364724966,2023,522593,597052,646363,615016,2381024
310999046,2023,0,0,0,0,0
842593203,2023,4668,5000,,,9668
942162549,2023,398117,341007,384016,370342,1493482
742683124,2024,55634,52952,54020,48720,211326
421435199,2024,594939,596971,602568,747896,2542374
204560286,2024,6517,7005,6661,8300,28483
